acceptedSymbol,taxon_id
"ALPA11","75357"
"ALPA3","75358"
"ALPA5","158186"
"ALPE","58356"
"ALPEF","64325"
"ALPEP2","80351"
"ALPE2","158187"
"ALPEP","239145"
"ALPES","239146"
"ALPL2","75359"
"ALPL3","158188"
"ALPL4","158189"
"ALPR2","75360"
"ALPU","75361"
"ALRO","158191"
"ALRU","158192"
"ALSA","75362"
"ALSAC","80352"
"ALSAS","80353"
"ALSCS","518314"
"ALSC2","158193"
"ALSE3","59784"
"ALSH2","75364"
"ALSH","75365"
"ALSI","158195"
"ALSI2","75366"
"ALSP2","158196"
"ALST","119790"
"ALTE","148940"
"ALTO","75367"
"ALTOP","239149"
"ALTOP2","239150"
"ALTOT","80354"
"ALTR2","75368"
"ALTR3","1457593"
"ALTU","75369"
"ALUN","59781"
"ALVA","75370"
"ALVI3","85437"
"ALYO","75372"
"ALTE3","158197"
"ALDI4","56738"
"ALGI","51099"
"ALGIG","58962"
"ALGIV","58963"
"ALGL3","75373"
"ALIN3","75374"
"ALCR9","887823"
"ALRA","286304"
"ALTE13","518185"
"ALTI3","510316"
"ALPY","278072"
"ALVI2","62481"
"ALHO4","158198"
"ALLO2","158199"
"ALPA14","75375"
"ALFA4","NaN"
"ALIN2","75377"
"ALINR","735042"
"ALINT","79567"
"ALMA7","158200"
"ALOB2","158202"
"ALRH2","53351"
"ALRU2","56034"
"ALSE2","56033"
"ALVI5","75378"
"ALVIC","197091"
"ALVIF","803435"
"ALVIS","859163"
"ALAL12","158203"
"ALALA","239151"
"ALBI7","158204"
"ALBR70","158205"
"ALHA5","158206"
"ALRI2","158207"
"ALHA7","NaN"
"ALAE","75381"
"ALAEA","80355"
"ALAES","61057"
"ALCA4","75382"
"ALMA8","856192"
"ALSA3","58364"
"ALDR2","158212"
"ALGR2","56891"
"ALGRG","239154"
"ALGRS","56880"
"ALMA9","158213"
"ALWR","75384"
"ALCA21","1144698"
"ALPO3","158215"
"ALCA6","1144583"
"ALPU11","1144582"
"ALCA19","55323"
"ALLY3","158217"
"ALOB4","158218"
"ALTR5","158219"
"ALVI6","158220"
"ALAM5","1156443"
"ALBR3","1361183"
"ALBR4","1156444"
"ALPO7","1120923"
"ALCA5","75385"
"ALCR8","959181"
"ALFI8","279260"
"ALFL","158227"
"ALFL5","158228"
"ALMA10","158229"
"ALPA17","279366"
"ALPAP","1366090"
"ALSE4","158232"
"ALAM3","155626"
"ALAMP2","155629"
"ALBU4","189191"
"ALOB5","158240"
"ALBR13","890216"
"ALST11","347641"
"AMTE9","NaN"
"AMTU2","775614"
"AMAC","122561"
"AMAR","75391"
"AMAU","158242"
"AMBI","158243"
"AMBR5","158244"
"AMCA","58775"
"AMCA2","145530"
"AMCRW","315361"
"AMDU","133981"
"AMFI","75394"
"AMFL3","130305"
"AMGR2","158247"
"AMHY","1409842"
"AMOB","158250"
"AMPA","75397"
"AMPO","158251"
"AMPO2","75398"
"AMPOB2","NaN"
"AMPOP","181631"
"AMPR","287616"
"AMPU2","158252"
"AMRE","901184"
"AMSC","158254"
"AMSP","62917"
"AMTA","287617"
"AMTO6","75399"
"AMTU","75400"
"AMVE2","279294"
"AMVI","75401"
"AMWA","75402"
"AMWR","158257"
"AMDE70","158260"
"AMSE","158261"
"AMPU3","75404"
"AMSE3","154122"
"AMSEJ","239162"
"AMSES","239163"
"AMVA","158262"
"AMHE3","NaN"
"AMIN","NaN"
"AMAC2","57909"
"AMAM2","75405"
"AMAR2","53587"
"AMARA2","53586"
"AMARE","53591"
"AMARP","53590"
"AMBI2","119140"
"AMCA7","158263"
"AMCH4","71135"
"AMCH2","158264"
"AMCH5","75406"
"AMCO3","75407"
"AMCO4","158265"
"AMDE4","158267"
"AMDU2","75408"
"AMER","75409"
"AMGR5","158268"
"AMHI3","121278"
"AMIL2","75410"
"AMLI3","158269"
"AMPS","60129"
"AMPU4","75412"
"AMTO3","158271"
"AMTR","53034"
"AMTRT","239164"
"AMTRT2","239165"
"AMIN4","363451"
"AMNE","363452"
"AMQU","363454"
"AMAL2","75415"
"AMALA","239166"
"AMALC","239167"
"AMALH","239168"
"AMALS","80360"
"AMAR3","49226"
"AMARA3","239169"
"AMARA4","239170"
"AMARA5","239171"
"AMBA","155002"
"AMCA4","1538088"
"AMHU2","158273"
"AMIN2","158274"
"AMLA","54814"
"AMNA2","158275"
"AMOB2","158276"
"AMPA2","158277"
"AMPU5","135173"
"AMSA","1538087"
"AMSAG","239172"
"AMSAS","239173"
"AMST80","49222"
"AMUT","61099"
"AMUTC2","181697"
"AMUTU","181632"
"AMJA","NaN"
"AMRO","155625"
"AMMU","83015"
"AMAU2","158279"
"AMBA3","84797"
"AMCO","60210"
"AMLA3","131593"
"AMRO3","75416"
"AMCH3","71050"
"AMBR","130755"
"AMCH6","158280"
"AMBU","158281"
"AMGI","75419"
"AMPO4","158282"
"AMGO","158283"
"AMPA3","158284"
"AMWR2","158285"
"AMNO","NaN"
"AMCA5","57358"
"AMCAC","80361"
"AMCAN","68148"
"AMCA6","158286"
"AMFR","57356"
"AMGE","158288"
"AMGEC","239174"
"AMGEG","239175"
"AMGL2","158289"
"AMHE","158290"
"AMHEC","239176"
"AMHEH","239177"
"AMLA2","158292"
"AMNA","158293"
"AMNI","158294"
"AMOU","139714"
"AMPA4","158295"
"AMRO2","158296"
"AMSC2","158297"
"AMCA14","127046"
"AMCO2","135393"
"AMAM3","158299"
"AMDR","135204"
"AMPU7","158300"
"AMBR2","85485"
"AMBRB","239178"
"AMBRC","239179"
"AMMU2","158302"
"AMPU6","158303"
"AMCA13","158304"
"AMLA70","158305"
"AMMO70","158306"
"AMPA6","273931"
"AMFR2","75420"
"AMFRF","80362"
"AMFRS2","80363"
"AMLA4","54657"
"AMCA8","158307"
"AMDO","58047"
"AMEA2","75422"
"AMGR3","75424"
"AMLU","75425"
"AMLY","58048"
"AMME","55436"
"AMMEI2","49141"
"AMMEM2","58049"
"AMSP3","71045"
"AMTE3","58050"
"AMTEG","80365"
"AMTET","58852"
"AMVE","58051"
"AMVEF","239180"
"AMVEV","58053"
"AMCI","81838"
"AMCIC","239181"
"AMCIT","81807"
"AMCIT2","239182"
"AMFU","158309"
"AMGR4","158310"
"AMHU","158311"
"AMIL","158312"
"AMJO","148082"
"AMKE","158313"
"AMLO","158314"
"AMLOL","239183"
"AMLOS","239184"
"AMLU2","158315"
"AMPA5","158316"
"AMPE","158317"
"AMRE3","158318"
"AMRI","158319"
"AMTA2","126548"
"AMTAG","239185"
"AMTAS","239186"
"AMTAT","239187"
"AMTH","158320"
"AMTO2","75427"
"AMTOS","239188"
"AMTOT","239189"
"AMBA2","158321"
"AMDI4","1061406"
"AMEL","158322"
"AMMA3","158323"
"AMTE4","158324"
"ANSP11","158325"
"ANLA14","158326"
"ANME9","128572"
"ANMEB","239190"
"ANMEM","239191"
"ANGL5","1005671"
"ANPE13","63700"
"ANARF","234255"
"ANMI4","58993"
"ANPU4","158327"
"ANMA","52833"
"ANOR4","155988"
"ANAS","158328"
"ANDO6","158329"
"ANHE8","158330"
"ANMI7","158331"
"ANMI8","56467"
"ANMIG","239192"
"ANMIM","239193"
"ANSA7","158332"
"ANSP9","158333"
"ANTE9","158334"
"ANBR17","344405"
"ANBRB","1151456"
"ANBRP","NaN"
"ANSC","870745"
"ANTO3","346663"
"ANFI3","50795"
"ANIN","158336"
"ANAL13","158337"
"ANBL70","158338"
"ANCR8","158339"
"ANHE10","158340"
"ANME8","158341"
"ANMEE","239194"
"ANMEM2","239195"
"ANMU9","158342"
"ANNI6","158343"
"ANOB8","158344"
"ANRO7","158345"
"ANROP2","239196"
"ANROR2","239197"
"ANRU7","158346"
"ANRUP","239198"
"ANRUR","239199"
"ANSC11","158347"
"ANSI4","158348"
"ANMA18","155992"
"ANJA4","NaN"
"ANPO","119892"
"ANPOG","239200"
"ANPOP","239202"
"ANAR2","158349"
"ANBI","287998"
"ANBR2","158350"
"ANCA4","853602"
"ANFL","158351"
"ANGE","NaN"
"ANGL10","NaN"
"ANGL2","1293180"
"ANGLG2","239204"
"ANGLH","239205"
"ANGLP","181698"
"ANGLS","80366"
"ANGR5","NaN"
"ANGY2","158352"
"ANGYG","239206"
"ANGYS","239207"
"ANHA","148951"
"ANLE","279576"
"ANLO2","158353"
"ANMO3","158354"
"ANTE2","158355"
"ANTEC","239208"
"ANTET","239209"
"ANTR","158356"
"ANVI2","1293182"
"ANVID","239210"
"ANVIV","80367"
"ANCH","930840"
"ANCHA","234260"
"ANCHC","234261"
"ANCHL","234262"
"ANEL2","58297"
"ANELA","58299"
"ANFI","75434"
"ANOC2","75435"
"ANSE4","1414058"
"ANSEG2","234264"
"ANSEP2","234265"
"ANSES3","234267"
"ANSES4","234268"
"ANSES5","234269"
"ANBR4","75437"
"ANCO9","158358"
"ANNE2","348377"
"ANEU","75438"
"ANAD","158359"
"ANHI2","138190"
"ANHI3","332523"
"ANME","158360"
"ANPO2","1003099"
"ANWR4","158361"
"ANBE","141532"
"ANCA8","129695"
"ANCA9","128651"
"ANCY","130456"
"ANDE3","75439"
"ANDR","75440"
"ANDRD","80368"
"ANDRH","234271"
"ANED2","158362"
"ANEDE","239212"
"ANEDP","239213"
"ANLA","158363"
"ANLI4","158364"
"ANLY","59630"
"ANMU4","82263"
"ANMU","75442"
"ANMUM3","80369"
"ANMUS","239218"
"ANMUS5","239219"
"ANMUT","950721"
"ANNA","121372"
"ANNAM2","239220"
"ANNAV3","239221"
"ANNAZ2","239222"
"ANOR","62586"
"ANORF","239223"
"ANORO","80370"
"ANPA","158365"
"ANPAG","239224"
"ANPAP2","239225"
"ANPI","158366"
"ANQU","126418"
"ANQUB2","239226"
"ANQUM2","239228"
